org_name,address,city,state,zip,phone,category,services
A NEW DAY ADULT DAYCARE,3672 N. RANCHO DRIVE LAS VEGAS NV 89130,Las Vegas,NV,89130,702-989-2292,senior-services,adult-day-care
A NEW DAY ADULT DAYCARE II,542-544 S DECATUR BLVD LAS VEGAS NV 89107,Las Vegas,NV,89107,404-454-9721,senior-services,adult-day-care
A NEXT GENERATION ADHC LLC,8225 W SAHARA AVE LAS VEGAS NV 89117,Las Vegas,NV,89117,702-476-2899,senior-services,adult-day-care
ADULT DAY CARE CENTER OF HENDERSON,1201 NEVADA STATE DR HENDERSON NV 89002,Henderson,NV,89002,702-368-2273,senior-services,adult-day-care
ADULT DAY CARE CENTER OF LAS VEGAS,901 N JONES LAS VEGAS NV 89108,Las Vegas,NV,89108,702-648-3425,senior-services,adult-day-care
"ADULT DAY CARE OF LAS VEGAS, LLC",953 E SAHARA STE A7 & A8 LAS VEGAS NV 89104,Las Vegas,NV,89104,702-501-6072,senior-services,adult-day-care
ALMOST HOME ADULT DAY CARE LLC,4308 NORTH DECATUR BLVD LAS VEGAS NV 89130,Las Vegas,NV,89130,702-255-2101,senior-services,adult-day-care
ALOHA ADULT DAY HEALTH CARE CENTER,930 W OWENS AVE LAS VEGAS NV 89106,Las Vegas,NV,89106,702-581-7435,senior-services,adult-day-care
"BABY BOOMERS ACTIVITIES CLUB II, LLC",1915 SIMMONS ST STE B LAS VEGAS NV 89106,Las Vegas,NV,89106,702-878-9600,senior-services,adult-day-care
BABY BOOMERS ACTIVITIES CLUB LLC,850 S JONES BLVD LAS VEGAS NV 89107,Las Vegas,NV,89107,702-878-9600,senior-services,adult-day-care
CIELO VISTA SENIOR DAY CARE LLC,3468 E. SAHARA AVE SUITE 105 LAS VEGAS NV 89104,Las Vegas,NV,89104,702-496-2341,senior-services,adult-day-care
"DREAM ADULT DAYCARE, LLC",1445 W ALEXANDER RD. N LAS VEGAS NV 89032,Las Vegas,NV,89032,702-266-7277,senior-services,adult-day-care
