org_name,address,city,state,zip,phone,category,services
"AFFECTIONATE HOSPICE CARE, LLC",1641 E FLAMINGO ROAD STE 8 ,LAS VEGAS,NV,89119,702-629-7308,senior-services,hospice
ALTA CARE HOSPICE AND PALLIATIVE CARE INC.,3305 WEST SPRING MOUNTAIN ROAD -8630,LAS VEGAS,NV,89102,702-522-8803,senior-services,hospice
ALTUS HOSPICE OF LAS VEGAS LP,4465 S BUFFALO DR STE D ,LAS VEGAS,NV,89147,702-821-1120,senior-services,hospice
ALWAYS BETTER CARE HOSPICE,6950 W VIA OLIVERO SUITE B4 ,LAS VEGAS,NV,89117,702-364-8006,senior-services,hospice
"AMBER CARE HOSPICE, INC.",6655 WEST SAHARA AVENUE ,LAS VEGAS,NV,89146,702-476-3350,senior-services,hospice
ANGELS HOSPICE INC,2350 S JONES BLVD SUITE 101 OFFICE 3-D ,LAS VEGAS,NV,89146,702-204-1502,senior-services,hospice
AVIANT HOSPICE,1210 S. VALLEY VIEW BLVD. ,LAS VEGAS,NV,89102,702-605-9959,senior-services,hospice
BEACON OF HOPE HOSPICE,8 SUNSET WAY SUITE 101 HENDERSON NV 89014,LAS VEGAS,NV,89014,702-736-8180,senior-services,hospice
BRIGHTON HOSPICE,8945 W RUSSELL ROAD ,LAS VEGAS,NV,89148,702-790-4013,senior-services,hospice
CANYON HOME CARE & HOSPICE,3305 W SPRING MOUNTAIN RD. ,LAS VEGAS,NV,89102,702-570-5818,senior-services,hospice
CAREPRO HOSPICE LLC,"5280 S. EASTERN AVENUE, SUITE G2 ",LAS VEGAS,NV,89119,702-883-5888,senior-services,hospice
CARING PROFESSIONALS HOSPICE,2770 S. MARYLAND PKWY STE 512-E ,LAS VEGAS,NV,89109,702-542-5286,senior-services,hospice
CENTENNIAL HOSPICE,"4535 W. SAHARA AVE, #108 ",LAS VEGAS,NV,89102,702-527-5553,senior-services,hospice
CHRISTIAN HOSPICE,2723 E RUSSELL ROAD ,LAS VEGAS,NV,89120,702-331-3911,senior-services,hospice
COMFORT HOSPICE CARE LLC,6655 W SAHARA AVE STE B-114 ,LAS VEGAS,NV,89146,702-489-4412,senior-services,hospice
COMPASSIONCARE HOSPICE,7842 W SAHARA AVE ,LAS VEGAS,NV,89117,702-636-0200,senior-services,hospice
COVENANT HOSPICE CARE,2950 E. FLAMINGO ROAD ,LAS VEGAS,NV,89121,702-750-0212,senior-services,hospice
"DEDICATED HOSPICE CARE, INC.",5300 W SAHARA AVE ,LAS VEGAS,NV,89146,702-405-0902,senior-services,hospice
DIVINE HOSPICE LLC,5000 W OAKEY BLVD ,LAS VEGAS,NV,89146,702-242-4663,senior-services,hospice
DIVINE MERCY HOSPICE SERVICES,3750 S JONES BLVD STE 130 ,LAS VEGAS,NV,89103,702-202-0763,senior-services,hospice
GALAXY HOSPICE INC,4055 SPENCER STREET #217 ,LAS VEGAS,NV,89119,702-988-6789,senior-services,hospice
HARBOR HOSPICE OF LAS VEGAS LP,5575 S. DURANGO BLVD ,LAS VEGAS,NV,89113,702-541-6273,senior-services,hospice
HARMONY HOSPICE,6090 S FORT APACHE RD STE 130 ,LAS VEGAS,NV,89148,702-471-0205,senior-services,hospice
HOSPICE DEL SOL,3634 NORTH RANCHO DRIVE ,LAS VEGAS,NV,89130,702-818-4270,senior-services,hospice
"HOSPICE SERVICES OF NEVADA, INC.","3100 W SAHARA AVENUE, STE 214 ",LAS VEGAS,NV,89102,702-222-1714,senior-services,hospice
INFINITY HOSPICE CARE,6330 S JONES BLVD ,LAS VEGAS,NV,89118,702-880-7002,senior-services,hospice
"JIREH HEALTHCARE SERVICES, LLC",2320 PASEO DEL PRADO STE B101 ,LAS VEGAS,NV,89102,702-359-1388,senior-services,hospice
"LIBERTY CREEK HOSPICE, LLC",2310 PASEO DE PRADO STE A203 ,LAS VEGAS,NV,89102,702-910-2333,senior-services,hospice
MEDICAL SERVICES OF AMERICA HOME HEALTH & HOSPICE,2325A RENAISSANCE DRIVE ,LAS VEGAS,NV,89119,702-568-1176,senior-services,hospice
