org_name,phone,category,services,address,city,state,zip
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,702-835-9720,"hospitals-surgery-center	
","all-hospitals	",6900 N DURANGO DR , LAS VEGAS,   NV,89149
DESERT PARKWAY BEHAVIORAL HEALTHCARE HOSPITAL LLC,702-776-3500,"hospitals-surgery-center	
","all-hospitals	",3247 S MARYLAND PKWY , LAS VEGAS,   NV,89109
DESERT SPRINGS HOSPITAL MEDICAL CENTER,702-369-7600,"hospitals-surgery-center	
","all-hospitals	",2075 E FLAMINGO RD , LAS VEGAS,   NV,89119
DESERT WILLOW TREATMENT CENTER,702-486-8900,"hospitals-surgery-center	
","all-hospitals	",6171 W CHARLESTON BLVD , LAS VEGAS,   NV,89146
DESERT WINDS HOSPITAL,305-864-9191,"hospitals-surgery-center	
","all-hospitals	",5900 W ROCHELLE AVE , LAS VEGAS,   NV,89103
DIGNITY HEALTH -ST. ROSE DOMINICAN WEST FLAMINGO CAMPUS,702-216-7335,"hospitals-surgery-center	
","all-hospitals	",9880 WEST FLAMINGO ROAD , LAS VEGAS,   NV,89147
DIGNITY HEALTH REHABILITATION HOSPITAL,725-726-2000,"hospitals-surgery-center	
","all-hospitals	",2930 SIENA HEIGHTS DRIVE , HENDERSON,   NV,89052
DIGNITY HEALTH ST. ROSE DOMINICAN NORTH LAS VEGAS CAMPUS,702-777-3615,"hospitals-surgery-center	
","all-hospitals	",1550 W CRAIG RANCH , LAS VEGAS,   NV,89032
DIGNITY HEALTH-ST. ROSE DOMINICAN BLUE DIAMOND CAMPUS,702-216-7305,"hospitals-surgery-center	
","all-hospitals	",4855 BLUE DIAMOND ROAD , LAS VEGAS,   NV,89139
DIGNITY HEALTH-ST. ROSE DOMINICAN SAHARA CAMPUS,713-637-1009,"hospitals-surgery-center	
","all-hospitals	",4980 W. SAHARA AVENUE , LAS VEGAS,   NV,89102
ELITE MEDICAL CENTER,702-497-3885,"hospitals-surgery-center	
","all-hospitals	",150 E. HARMON AVENUE , LAS VEGAS,   NV,89109
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DESERT CANYON,702-252-7342,"hospitals-surgery-center	
","all-hospitals	",9175 W OQUENDO RD , LAS VEGAS,   NV,89148
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF , HENDERSON,"hospitals-surgery-center	
","hospitals-surgery-centers	
","all-hospitals	",10301 JEFFREYS ST , HENDERSON,   NV
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF , LAS VEGAS,"hospitals-surgery-center	
","hospitals-surgery-centers	
","all-hospitals	",1250 S VALLEY VIEW BLVD , LAS VEGAS,   NV
HARMON HOSPITAL,702-794-0100,"hospitals-surgery-center	
","all-hospitals	",2170 E  HARMON AVE , LAS VEGAS,   NV,89119
HENDERSON HOSPITAL,318-290-4395,"hospitals-surgery-center	
","all-hospitals	",1050 GALLERIA DRIVE WEST , HENDERSON,   NV,89011
HORIZON SPECIALTY HOSPITAL - , LAS VEGAS,"hospitals-surgery-center	
","hospitals-surgery-centers	
","all-hospitals	",640 S MARTIN L KING BLVD , LAS VEGAS,   NV
HORIZON SPECIALTY HOSPITAL OF , HENDERSON,"hospitals-surgery-center	
","hospitals-surgery-centers	
","all-hospitals	",8550 S EASTERN AVE , HENDERSON,   NV
KINDRED HOSPITAL - LAS VEGAS (FLAMINGO CAMPUS),702-784-4300,"hospitals-surgery-center	
","all-hospitals	",2250 E FLAMINGO RD , LAS VEGAS,   NV,89119
KINDRED HOSPITAL - LAS VEGAS (SAHARA CAMPUS),702-871-1418,"hospitals-surgery-center	
","all-hospitals	",5110 W SAHARA AVE , LAS VEGAS,   NV,89146
LAS VEGAS-AMG SPECIALTY HOSPITAL,702-433-2200,"hospitals-surgery-center	
","all-hospitals	",4015 S MCLEOD DR , LAS VEGAS,   NV,89121
MOUNTAINVIEW HOSPITAL,702-255-5065,"hospitals-surgery-center	
","all-hospitals	",3100 N TENAYA WY , LAS VEGAS,   NV,89128
NORTH VISTA HOSPITAL,702-657-5504,"hospitals-surgery-center	
","all-hospitals	",1409 E LAKE MEAD BLVD NORTH , LAS VEGAS,   NV,89030
PAM REHABILITATION HOSPITAL OF CENTENNIAL HILLS,725-223-4100,"hospitals-surgery-center	
","all-hospitals	",6166 N DURANGO DRIVE , LAS VEGAS,   NV,89149
PAM SPECIALTY HOSPITAL OF LAS VEGAS LLC,702-562-2021,"hospitals-surgery-center	
","all-hospitals	",2500 NORTH TENAYA WAY , LAS VEGAS,   NV,89128
PAM SPECIALTY HOSPITAL OF RENO LLC,775-355-5600,"hospitals-surgery-center	
","all-hospitals	",2375 EAST PRATER WAY SPARKS NV 89434,,,
SAINT ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS,702-616-5000,"hospitals-surgery-center	
","all-hospitals	",102 E LAKE MEAD PKWY , HENDERSON,   NV,89015
SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,702-492-8509,"hospitals-surgery-center	
","all-hospitals	",8280 W WARM SPRINGS RD , LAS VEGAS,   NV,89113
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,702-616-5000,"hospitals-surgery-center	
","all-hospitals	",3001 SAINT ROSE PKWY , HENDERSON,   NV,89052
SANA BEHAVIORAL HEALTH - , LAS VEGAS,"hospitals-surgery-center	
","hospitals-surgery-centers	
","all-hospitals	",5975 WEST TWAIN AVENUE , LAS VEGAS,   NV
SEVEN HILLS BEHAVIORAL INSTITUTE,702-646-5000,"hospitals-surgery-center	
","all-hospitals	",3021 W HORIZON RIDGE PKWY , HENDERSON,   NV,89052
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,702-916-5000,"hospitals-surgery-center	
","all-hospitals	",9300 WEST SUNSET RD , LAS VEGAS,   NV,89148
SOUTHERN NEVADA ADULT MENTAL HEALTH SERVICES,702-486-6000,"hospitals-surgery-center	
","all-hospitals	",6161 W CHARLESTON BLVD , LAS VEGAS,   NV,89146
SPRING MOUNTAIN SAHARA,702-873-2400,"hospitals-surgery-center	
","all-hospitals	",5460 W SAHARA AVE , LAS VEGAS,   NV,89146
SPRING MOUNTAIN TREATMENT CENTER,702-873-2400,"hospitals-surgery-center	
","all-hospitals	",7000 W SPRING MOUNTAIN RD , LAS VEGAS,   NV,89117
SPRING VALLEY HOSPITAL MEDICAL CENTER,702-853-3000,"hospitals-surgery-center	
","all-hospitals	",5400 S RAINBOW BLVD , LAS VEGAS,   NV,89118
SUMMERLIN HOSPITAL MEDICAL CENTER,702-233-7500,"hospitals-surgery-center	
","all-hospitals	",657 N TOWN CENTER DR , LAS VEGAS,   NV,89144
SUNRISE HOSPITAL AND MEDICAL CENTER,702-961-6901,"hospitals-surgery-center	
","all-hospitals	",3186 S MARYLAND PKWY LAS  VEGAS NV 89109,,,
UNIVERSITY MEDICAL CENTER OF SOUTHERN NEVADA,702-383-2000,"hospitals-surgery-center	
","all-hospitals	",1800 W CHARLESTON BLVD , LAS VEGAS,   NV,89102
VALLEY HOSPITAL MEDICAL CENTER,702-388-4000,"hospitals-surgery-center	
","all-hospitals	",620 SHADOW LN , LAS VEGAS,   NV,89106
