org_name,address,city,state,zip,phone,category,services
A HAND OF HOPE,99 TOWER MUSTARD COURT ,HENDERSON,NV,89002,702-301-9157,"senior-services",assisted-living-individual
ABS HOME CARE SPECIALIST,9040 SUNNY HILLS CT. ,LAS VEGAS,NV,89147,702-592-1891,"senior-services",assisted-living-individual
ACE CARE HOME,4809 MOUNTAIN VALLEY RD,LAS VEGAS,NV,89121,702-608-7238,"senior-services",assisted-living-individual
AIDEN BLISS HOME CARE,3524 SAINT AIDEN ST. ,LAS VEGAS,NV,89129,702-633-8928,"senior-services",assisted-living-individual
ALLHEART CARE HOME LLC,3812 MELLON COURT,NORTH LAS VEGAS,NV,89032,702-570-7307,"senior-services",assisted-living-individual
ALOHA CHARITY RESIDENTIAL,5515 CRIOLLO DRIVE ,LAS VEGAS,NV,89122,702-429-2103,"senior-services",assisted-living-individual
ALOHA CHARITY RESIDENTIAL II,5567 HARBOUR POINTE DRIVE ,LAS VEGAS,NV,89122,702-429-2103,"senior-services",assisted-living-individual
ALOHA HOME CARE LLC,9659 QUARTER HORSE LANE ,LAS VEGAS,NV,89178,702-202-0525,"senior-services",assisted-living-individual
ANA L GUERRA,3915 GALICENO DRIVE,LAS VEGAS,NV,89122,702-358-5622,"senior-services",assisted-living-individual
AND YOUR HOME TOO 1,1590 PALOMINO DR ,HENDERSON,NV,89002,702-565-4868,"senior-services",assisted-living-individual
ANGEL GABRIEL GROUP HOME,1663 GABRIEL DR ,LAS VEGAS,NV,89119,702-736-3243,"senior-services",assisted-living-individual
AS TIME GOES BY IV,4141 JORY TRAIL ,LAS VEGAS,NV,89108,702-683-4568,"senior-services",assisted-living-individual
BEST HOME CARE AT THE OASIS,4309 OASIS VALLEY AVE NORTH ,NORTH LAS VEGAS,NV,89085,702-807-8239,"senior-services",assisted-living-individual
"BETHANY HOMECARE, LLC",7436 LATTIMORE DRIVE ,LAS VEGAS,NV,89128,702-283-7631,"senior-services",assisted-living-individual
BETTER LIVING HOME CARE,3920 CACKLING GOOSE DRIVE ,NORTH LAS VEGAS,NV,89084,702-807-8239,"senior-services",assisted-living-individual
BLUE DIAMOND ADULT CARE,8265 CULTURED PEARL COURT ,LAS VEGAS,NV,89139,702-617-8663,"senior-services",assisted-living-individual
BNP HOME CARE,4755 E CINCINNATI AVE ,LAS VEGAS,NV,89104,702-207-0847,"senior-services",assisted-living-individual
BRUSHFIELD’S A PLACE TO CALL HOME,3021 OCEAN PORT DRIVE,LAS VEGAS,NV,89117,702-731-5941,"senior-services",assisted-living-individual
CARING TOUCH INC,2871 TORI WAY,HENDERSON,NV,89074,702-504-9514,"senior-services",assisted-living-individual
CASA OHANA,7095 MAGIC MOMENT LANE ,LAS VEGAS,NV,89119,702-897-9434,"senior-services",assisted-living-individual
COMPASSIONATE CARE,3882 CHUTNEY STREET,LAS VEGAS,NV,89121,702-434-3108,"senior-services",assisted-living-individual
DESTINY CARE HOME,6452 SILENT SUN AVE,LAS VEGAS,NV,89142,702-368-7615,"senior-services",assisted-living-individual
DILIGENT CARE LLC,4036 BROADRIVER DRIVE ,LAS VEGAS,NV,89108,702-658-8075,"senior-services",assisted-living-individual
EASY LIFESTYLE FOR SENIORS,3900 DAUNTLESS DRIVE ,NORTH LAS VEGAS,NV,89031,702-294-2323,"senior-services",assisted-living-individual
