org_name,address,city,state,zip,category,services,phone
A NEW MIND HEALTH SERVICES INC,320 N. NELLIS BLVD. #6,Las Vegas,NV,89110,behavioral-health,narcotics-abuse-treatment-centers,702-551-2987
ADELSON CLINIC,3661 S MARYLAND PKWY SUITE 64 ,Las Vegas,NV,89169,behavioral-health,narcotics-abuse-treatment-centers,702-735-7900
CENTER FOR BEHAVIORAL HEALTH,"2290 MCDANIEL STREET, SUITE 1-C ",Las Vegas,NV,89030,behavioral-health,narcotics-abuse-treatment-centers,702-399-1600
CENTER FOR BEHAVIORAL HEALTH LV -CHEYENNE,3470 W CHEYENNE AVE STE 400 ,Las Vegas,NV,89032,behavioral-health,narcotics-abuse-treatment-centers,702-636-0085
CENTER FOR BEHAVIORAL HEALTH LV-DESERT INN,3050 E DESERT INN RD STE 116 ,Las Vegas,NV,89121,behavioral-health,narcotics-abuse-treatment-centers,702-796-0660
DESERT TREATMENT CLINIC LLC,1546 W WARM SPRING RD #130 ,Henderson,NV,89014,behavioral-health,narcotics-abuse-treatment-centers,702-248-0000
MISSION TREATMENT CENTER - LAS VEGAS,2887 S. MARYLAND PARKWAY ,Las Vegas,NV,89109,behavioral-health,narcotics-abuse-treatment-centers,702-474-4104
MISSION TREATMENT CENTER -HENDERSON,1536 N. BOULDER HIGHWAY,Henderson,NV,89011,behavioral-health,narcotics-abuse-treatment-centers,702-558-8600
NEW BEGINNINGS COUNSELING CENTERS INC,3675 PECOS MCLEOD #200 ,Las Vegas,NV,89121,behavioral-health,narcotics-abuse-treatment-centers,702-834-8319
SEVEN HILLS BEHAVIORAL INSTITUTE,3021 W. HORIZON RIDGE PKWY ,Henderson,NV,89052,behavioral-health,narcotics-abuse-treatment-centers,702-281-2385
VEGAS TREATMENT CENTER,2121 E FLAMINGO  RD ,Las Vegas,NV,89119,behavioral-health,narcotics-abuse-treatment-centers,818-441-1049
