org_name,address,city,state,zip,phone,category,services
1HEART CAREGIVER SERVICES,1210 S. VALLEY VIEW BLVD.,Las Vegas,NV,89102,702-485-9781,senior-services,personal-care-agencies
"1ST ADVANCE HOME CARE, LLC","1600 E. DESERT INN RD,",Las Vegas,NV,89169,702-795-4357,senior-services,personal-care-agencies
1ST LAS VEGAS HEALTH CARE,6290 S RAINBOW BLVD,Las Vegas,NV,89118,702-234-9088,senior-services,personal-care-agencies
"1ST LOVE & LIFE CAREGIVERS, LLC",2770 S MARYLAND PARKWAY STE 418-B,Las Vegas,NV,89109,702-463-7779,senior-services,personal-care-agencies
1ST PARADISE PERSONAL CARE LLC,1928 E CHARLESTON BLVD,Las Vegas,NV,89104,702-826-8424,senior-services,personal-care-agencies
702 CAREGIVERS LLC,2780 SOUTH JONES BLVD.,Las Vegas,NV,89146,702-333-1488,senior-services,personal-care-agencies
A & A PERSONAL CARE SOLUTIONS LLC,8879 W FLAMINGO RD,Las Vegas,NV,89147,702-701-9951,senior-services,personal-care-agencies
A AAA HOME CARE IN LAS VEGAS,245 E CENTENNIAL PKWY #2039,Las Vegas,NV,89084,702-476-5058,senior-services,personal-care-agencies
"A BETTER LIFE IN HOME CARE, LLC",1810 EAST SAHARA AVENUE,Las Vegas,NV,89104,702-722-1229,senior-services,personal-care-agencies
A BETTER WAY HOME CARE,6725-1 S EASTERN AVE,Las Vegas,NV,89119,702-331-6200,senior-services,personal-care-agencies
A CARING HAND HOME HEALTH CARE,7320 SMOKE RANCH RD STE H,Las Vegas,NV,89128,702-380-0600,senior-services,personal-care-agencies
A COMPASSIONATE HEALTH CARE LLC,3900 SOUTH HUALAPAI WAY SUITE 124,Las Vegas,NV,89118,702-234-9088,senior-services,personal-care-agencies
"A GENTLE TOUCH HOME HEALTH CARE, INC.",2001 S. JONES BLVD. STE. K,Las Vegas,NV,89146,702-202-3452,senior-services,personal-care-agencies
A HELPING HAND,3101 W CHARLESTON BLVD,Las Vegas,NV,89102,702-839-2060,senior-services,personal-care-agencies
A LOVING HOME CARE SERVICES,3355 W. SPRING MOUNTAIN RD,Las Vegas,NV,89102,702-444-4606,senior-services,personal-care-agencies
A NOVO CARE,2575 S CIMARRON ROAD STE 102,Las Vegas,NV,89117,702-476-2899,senior-services,personal-care-agencies
A PLUS PERSONAL CARE,528 E OAKEY BLVD #110,Las Vegas,NV,89104,702-686-3372,senior-services,personal-care-agencies
"A SACRED HOME HEALTH CARE, LLC",7040 LAREDO ST,Las Vegas,NV,89117,702-488-2838,senior-services,personal-care-agencies
A-PLUS PERSONAL CARE SERVICES LLC,9708 GILESPIE ST,Las Vegas,NV,89104,702-236-8920,senior-services,personal-care-agencies
A-TEAM PERSONAL CARE LLC,4550 WEST OAKEY BLVD STE 105,Las Vegas,NV,89102,702-822-1253,senior-services,personal-care-agencies
"AA PERSONAL CARE, LLC",2330 PASEO DEL PRADO,Las Vegas,NV,89102,725-600-7953,senior-services,personal-care-agencies
AAA GENTLE CARE SERVICES,8000 BADURA AVENUE,Las Vegas,NV,89113,702-285-3725,senior-services,personal-care-agencies
"AAA HOME CARE, LLC",2780 S. JONES BLVD SUITE #130,Las Vegas,NV,89146,702-403-4290,senior-services,personal-care-agencies
AARTI HOME CARE,3960 E PATRICK LANE SUITE 202,Las Vegas,NV,89120,702-523-5804,senior-services,personal-care-agencies
ABIDING HOME CARE SERVICES,1951 STELLA LAKE STREET  #36,Las Vegas,NV,89106,702-564-3049,senior-services,personal-care-agencies
"ABLE HOME CARE SOLUTIONS, LLC",801 S RANCHO DRIVE,Las Vegas,NV,89106,702-728-9926,senior-services,personal-care-agencies
"ABOVE THE REST HOME CARE, INC.",2001 S JONES BLVD SUITE E-3,Las Vegas,NV,89146,702-273-6658,senior-services,personal-care-agencies
ABSOLUTE HOME CARE INC,2860 E FLAMINGO RD #K,Las Vegas,NV,89121,702-318-5005,senior-services,personal-care-agencies
ABSOLUTE PERSONAL CARE,6725-1 S EASTERN AVE,Las Vegas,NV,89119,702-646-2722,senior-services,personal-care-agencies
ACCESSIBLE SPACE INC,6375 W CHARLESTON BLVD STE L200,Las Vegas,NV,89146,702-259-1903,senior-services,personal-care-agencies
ACTI-KARE RESPONSIVE IN-HOME CARE,2656 SODA BUTTE CRT HENDERSON NV 89052,Henderson,NV,89052,310-529-7862,senior-services,personal-care-agencies
ADL HOME CARE INC,5028 ALTA DR,Las Vegas,NV,89107,702-933-9770,senior-services,personal-care-agencies
ADVANCED CARE GROUP LLC,6130 ELTON AVENUE,Las Vegas,NV,89107,702-216-0377,senior-services,personal-care-agencies
ADVANCED HOME HEALTH CARE,2860 E FLAMINGO RD #C,Las Vegas,NV,89121,702-562-3355,senior-services,personal-care-agencies
ADVANCED PERSONAL CARE SOLUTIONS INC,8290 W SAHARA AVE #260,Las Vegas,NV,89117,702-262-9949,senior-services,personal-care-agencies
ADVOCATE WELLNESS NEVADA,"3355 W. SPRING MOUNTAIN RD, STE 236",Las Vegas,NV,89102,702-704-1044,senior-services,personal-care-agencies
AGAPE HOME CARE,3777 BROADRIVER DRIVE,Las Vegas,NV,89108,702-417-3501,senior-services,personal-care-agencies
AKAMAI SENIOR SERVICES,4024 PERFECT LURE STREET,Las Vegas,NV,89129,702-480-4132,senior-services,personal-care-agencies
"ALAGACARE, LLC","1810 E. SAHARA AVE, SUITE 108",Las Vegas,NV,89104,702-727-3902,senior-services,personal-care-agencies
ALFA HOME CARE LLC,820 RANCHO LANE,Las Vegas,NV,89106,702-776-1004,senior-services,personal-care-agencies
ALL ABOUT YOU HOME CARE,2001 S JONES BLVD SUITE G,Las Vegas,NV,89146,702-273-6658,senior-services,personal-care-agencies
ALL AROUND HOME CARE,5135 CAMINO AL NORTE N,Las Vegas,NV,89031,702-853-6714,senior-services,personal-care-agencies
ALL VALLEY HOME HEALTH CARE,535 S DECATUR BLVD,Las Vegas,NV,89107,702-562-2273,senior-services,personal-care-agencies
ALLIANCE HOME CARE AND SENIOR SERVICES,8945 W. POST RD.-2430,Las Vegas,NV,89148,725-266-4664,senior-services,personal-care-agencies
ALTERNATIVE SOLUTIONS,6166 SANDHILL RD,Las Vegas,NV,89120,702-372-9756,senior-services,personal-care-agencies
AM PM PERSONAL CARE LLC,820 RANCHO LANE #25,Las Vegas,NV,89106,702-776-1004,senior-services,personal-care-agencies
AMADA SENIOR CARE,"4175 SOUTH RILEY STREET, SUITE 203",Las Vegas,NV,89147,702-998-3996,senior-services,personal-care-agencies
AMAZING ANGEL CAREGIVING SERVICES,2980 S. RAINBOW BLVD STE. 110-C,Las Vegas,NV,89146,702-580-0012,senior-services,personal-care-agencies
AMAZING HOMECARE SERVICES,"7473 W. LAKE MEAD BLVD.,",Las Vegas,NV,89128,702-358-9917,senior-services,personal-care-agencies
"AMERICAN AND LATIN PERSONAL CARE, LLC",4550 W. OAKEY BLVD.,Las Vegas,NV,89102,702-583-2825,senior-services,personal-care-agencies
ANGEL CARE HOME HEALTH,4080 E LAKE MEAD STE C101,Las Vegas,NV,89115,702-731-5587,senior-services,personal-care-agencies
