org_name,category,services,phone,address,city,state,zip
Advanced Healthcare of Henderson,senior-services,physical-rehab,702-790-6300,1285 E. Cactus Ave., Las Vegas, NV,89183
Advanced Healthcare of Las Vegas ,senior-services,physical-rehab,702-967-6100,5840 W. Sunset Rd., Las Vegas, NV,89118
Advanced Healthcare of Summerlin,senior-services,physical-rehab,702-910-3800,2860 W. Tenaya Way, Las Vegas,NV,89128
Boulder City Hospital LTC,senior-services,physical-rehab,702-293-4111,901 Adams Blvd., Boulder City, NV,89005
Canyon Vista Post Acute,senior-services,physical-rehab,702-541-6200,6352 Medical Center Dr., Las Vegas, NV,89148
Caremeridian ,senior-services,physical-rehab,702-255-7399,7690 Carmen Blvd., Las Vegas, NV,89128
Caremeridian - Buffalo ,senior-services,physical-rehab,702-800-8860,3391 N. Buffalo Dr., Las Vegas, NV,89129
College Park Rehabilitation Center,senior-services,physical-rehab,702-644-1888,2856 E. Cheyenne Ave., North Las Vegas, NV,89030
Desert Hills Post Acute and Rehabilitation,senior-services,physical-rehab,702-680-6131,8225 W. Robindale Rd., Las Vegas, NV,89113
Encompass Health Rehabilitation,senior-services,physical-rehab,702-252-7342,9175 W Oquendo Road, Las Vegas ,NV,89148
Encompass Health Rehabilitation,senior-services,physical-rehab,702-877-8898,1250 South Valley View Blvd., Las Vegas, NV,89102
Encompass Health Rehabilitation,senior-services,physical-rehab,702-939-9400,10301 Jeffreys St ,Henderson,NV,89052
Harmon Hospital ,senior-services,physical-rehab,702-794-0100,2170 E. Harmon Ave., Las Vegas, NV,89119
Horizon Health and Rehabilitation Center,senior-services,physical-rehab,702-382-5580,660 Desert Lane,Las Vegas,NV,89106
Horizon Health Nursing and Rehabilitation Center,senior-services,physical-rehab,702-805-5050,2855 W. Horizon Ride Pkwy,Henderson,NV,89052
Kindred Subacute and Transitional Center,senior-services,physical-rehab,702-784-4300,2250 E. Flamingo Rd., Las Vegas, NV,89119
Kindred Transitional (St. Rose Dominican),senior-services,physical-rehab,702-856-0633,102 East Lake Mead Pkwy., Henderson, NV,89015
Kindred Transitional Care and Rehabilitation,senior-services,physical-rehab,702-470-1102,5650 South Rainbow Blvd., Las Vegas, NV,89119
Lake Mead Health and Rehabilitation,senior-services,physical-rehab,702-565-8555,1180 E. Lake Mead Dr., Henderson, NV,89015
Las Vegas Post Acute and Rehabilitation,senior-services,physical-rehab,702-735-5848,2832 S. Maryland Pkwy., Las Vegas, NV,89109
Las Ventanas Retirement Community,senior-services,physical-rehab,702-360-2662,10401 W. Charleston Blvd, Las Vegas, NV,89135
Life Care Center of Las Vegas,senior-services,physical-rehab,702-648-4900,6151 Vegas Dr., Las Vegas, NV,89108
Life Care Center of South Las Vegas,senior-services,physical-rehab,702-798-7990,2325 E. Harmon Ave., Las Vegas, NV,89119
Marquis Centennial Hills,senior-services,physical-rehab,702-515-3000,6351 N. Fort Apache Rd., Las Vegas, NV,89149
Marquis Plaza Regency ,senior-services,physical-rehab,702-658-9494,6021 W. Cheyenne Ave., Las Vegas, NV,89108
Mission Pines Nursing and Rehabilitation Center,senior-services,physical-rehab,702-644-7777,2860 E. Cheyenne Ave., North Las Vegas, NV,89030
Mountain View Care Center of Boulder City,senior-services,physical-rehab,775-293-5151,601 Adams Blvd., Boulder City, NV,89005
North Las Vegas Care Center,senior-services,physical-rehab,702-649-7800,3215 E. Cheyenne Ave., N. Las Vegas, NV,89030
PAM Rehabilitation Hospital ,senior-services,physical-rehab,725-223-4100,6166 N. Durango Dr., Las Vegas, NV,89149
Premier Health and Rehabilitation Center,senior-services,physical-rehab,702-735-7179,2945 Caso Vegas St., Las Vegas, NV,89109
Royal Springs Healthcare and Rehabilitation,senior-services,physical-rehab,702-804-3000,8501 Del Webb Blvd., Las Vegas, NV,89134
Sage Creek Post Acute adn Rehabilitation,senior-services,physical-rehab,702-790-3000,2350 Lone Rd., Las Vegas, NV,89183
Silver Hills Healthcare Center,senior-services,physical-rehab,702-952-2273,3450 N. Buffalo  Dr., Las Vegas, NV,89129
Silver Ridge Healthcare Center,senior-services,physical-rehab,702-938-8333,1151 Torrey Pines Dr., Las Vegas, NV,89146
Spanish Hills Wellness Suites,senior-services,physical-rehab,702-251-2200,5351 Montessouri St., Las Vegas, NV,89113
St. Joseph Transitional Rehabilitation Center,senior-services,physical-rehab,702-386-7980,2035 W. Charleston Blvd., Las Vegas, NV,89102
The Heights of Summerlin ,senior-services,physical-rehab,702515-6200,10550 Park Run Dr., Las Vegas, NV,89144
TLC Care Center,senior-services,physical-rehab,702-547-6700,1500 W. Warm Springs Rd., Henderson,NV,89014
Torrey Pines Post Acute and Rehabilitation,senior-services,physical-rehab,702-871-0005,1701 S. Torrey Pines Rd, Las Vegas, NV,89146
Wellbrook Centennial Hills ,senior-services,physical-rehab,702-333-1290,6650 Grand Montecito Pkwy, Las Vegas, NV,89149
