org_name,phone,category,services,address,city,state,zip
Advanced Healthcare of Henderson,702-790-6300,senior-services,skilled-nursing-facilities,1285 E. Cactus Ave., Las Vegas,NV,89183
Advanced Healthcare of Las Vegas ,702-967-6100,senior-services,skilled-nursing-facilities,5840 W. Sunset Rd., Las Vegas,NV,89118
Advanced Healthcare of Summerlin,702-910-3800,senior-services,skilled-nursing-facilities,2860 W. Tenaya Way, Las Vegas ,NV,89128
Boulder City Hospital LTC,702-293-4111,senior-services,skilled-nursing-facilities,901 Adams Blvd., Boulder City,NV,89005
Canyon Vista Post Acute,702-541-6200,senior-services,skilled-nursing-facilities,6352 Medical Center Dr., Las Vegas,NV,89148
Caremeridian ,702-255-7399,senior-services,skilled-nursing-facilities,7690 Carmen Blvd., Las Vegas,NV,89128
Caremeridian - Buffalo ,702-800-8860,senior-services,skilled-nursing-facilities,3391 N. Buffalo Dr., Las Vegas,NV,89129
College Park Rehabilitation Center,702-644-1888,senior-services,skilled-nursing-facilities,2856 E. Cheyenne Ave., North Las Vegas,NV,89030
Delmar Gardens of Green Valley,702-361-6111,senior-services,skilled-nursing-facilities,100 Delmar Gardens Dr., Henderson,NV,89014
Desert Hills Post Acute and Rehabilitation,702-680-6131,senior-services,skilled-nursing-facilities,8225 W. Robindale Rd., Las Vegas,NV,89113
Gay Have ICF,702-452-8399,senior-services,skilled-nursing-facilities,1813 Betty Lane , Las Vegas,NV,89115
Harmon Hospital ,702-794-0100,senior-services,skilled-nursing-facilities,2170 E. Harmon Ave., Las Vegas,NV,89119
Horizon Health and Rehabilitation Center,702-382-5580,senior-services,skilled-nursing-facilities,660 Desert Lane,Las Vegas,NV,89106
Horizon Health Nursing and Rehabilitation Center,702-805-5050,senior-services,skilled-nursing-facilities,2855 W. Horizon Ride Pkwy,Henderson,NV,89052
Kindred Subacute and Transitional Center,702-784-4300,senior-services,skilled-nursing-facilities,2250 E. Flamingo Rd., Las Vegas,NV,89119
Kindred Transitional (St. Rose Dominican),702-856-0633,senior-services,skilled-nursing-facilities,102 East Lake Mead Pkwy., Henderson,NV,89015
Kindred Transitional Care and Rehabilitation,702-470-1102,senior-services,skilled-nursing-facilities,5650 South Rainbow Blvd., Las Vegas,NV,89119
Lake Mead Health and Rehabilitation,702-565-8555,senior-services,skilled-nursing-facilities,1180 E. Lake Mead Dr., Henderson,NV,89015
Las Vegas Post Acute and Rehabilitation,702-735-5848,senior-services,skilled-nursing-facilities,2832 S. Maryland Pkwy., Las Vegas,NV,89109
Las Ventanas Retirement Community,702-360-2662,senior-services,skilled-nursing-facilities,10401 W. Charleston Blvd, Las Vegas,NV,89135
Life Care Center of Las Vegas,702-648-4900,senior-services,skilled-nursing-facilities,6151 Vegas Dr., Las Vegas,NV,89108
Life Care Center of South Las Vegas,702-798-7990,senior-services,skilled-nursing-facilities,2325 E. Harmon Ave., Las Vegas,NV,89119
Marquis Centennial Hills,702-515-3000,senior-services,skilled-nursing-facilities,6351 N. Fort Apache Rd., Las Vegas,NV,89149
Marquis Plaza Regency ,702-658-9494,senior-services,skilled-nursing-facilities,6021 W. Cheyenne Ave., Las Vegas,NV,89108
Mission Pines Nursing and Rehabilitation Center,702-644-7777,senior-services,skilled-nursing-facilities,2860 E. Cheyenne Ave., North Las Vegas,NV,89030
Mountain View Care Center of Boulder City,775-293-5151,senior-services,skilled-nursing-facilities,601 Adams Blvd., Boulder City,NV,89005
North Las Vegas Care Center,702-649-7800,senior-services,skilled-nursing-facilities,3215 E. Cheyenne Ave., N. Las Vegas,NV,89030
PAM Rehabilitation Hospital ,725-223-4100,senior-services,skilled-nursing-facilities,6166 N. Durango Dr., Las Vegas,NV,89149
Premier Health and Rehabilitation Center,702-735-7179,senior-services,skilled-nursing-facilities,2945 Caso Vegas St., Las Vegas,NV,89109
Royal Springs Healthcare and Rehabilitation,702-804-3000,senior-services,skilled-nursing-facilities,8501 Del Webb Blvd., Las Vegas,NV,89134
Sage Creek Post Acute adn Rehabilitation,702-790-3000,senior-services,skilled-nursing-facilities,2350 Lone Rd., Las Vegas,NV,89183
Silver Hills Healthcare Center,702-952-2273,senior-services,skilled-nursing-facilities,3450 N. Buffalo  Dr., Las Vegas,NV,89129
Silver Ridge Healthcare Center,702-938-8333,senior-services,skilled-nursing-facilities,1151 Torrey Pines Dr., Las Vegas,NV,89146
Spanish Hills Wellness Suites,702-251-2200,senior-services,skilled-nursing-facilities,5351 Montessouri St., Las Vegas,NV,89113
St. Joseph Transitional Rehabilitation Center,702-386-7980,senior-services,skilled-nursing-facilities,2035 W. Charleston Blvd., Las Vegas,NV,89102
The Heights of Summerlin ,702515-6200,senior-services,skilled-nursing-facilities,10550 Park Run Dr., Las Vegas,NV,89144
TLC Care Center,702-547-6700,senior-services,skilled-nursing-facilities,1500 W. Warm Springs Rd., Henderson,NV,89014
Torrey Pines Post Acute and Rehabilitation,702-871-0005,senior-services,skilled-nursing-facilities,1701 S. Torrey Pines Rd, Las Vegas,NV,89146
Wellbrook Centennial Hills ,702-333-1290,senior-services,skilled-nursing-facilities,6650 Grand Montecito Pkwy, Las Vegas,NV,89149
