org_name,category,services,phone,address
215 SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-948-8894,6120 S FORT APACHE RD STE 200 , LAS VEGAS, NV,  89148
AFFINITY SURGERY CENTER LLC,hospitals-surgery-centers,surgery-centers,702-832-5959,10135 W TWAIN AVENUE #110 , LAS VEGAS, NV,  89147
ALTA ROSE SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-386-9906,501 ROSE ST STE 110 , LAS VEGAS, NV,  89106
AMBULATORY SURGICAL CENTER OF SOUTHERN NEVADA,hospitals-surgery-centers,surgery-centers,702-952-1660,6950 S CIMARRON ROAD , LAS VEGAS, NV,  89113
AZURA SURGERY CENTER LAS VEGAS,hospitals-surgery-centers,surgery-centers,702-726-6344,2450 FIRE MESA STREET , LAS VEGAS, NV,  89128
BOX CANYON SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-316-4440,2555 BOX CANYON DR , LAS VEGAS, NV,  89128
CENTENNIAL SPECIALTY SURGERY CENTER INC.,hospitals-surgery-centers,surgery-centers,702-432-3800,5550 PAINTED MIRAGE ROAD STE 115 , LAS VEGAS, NV,  89149
CENTENNIAL SPINE AND PAIN CENTER,hospitals-surgery-centers,surgery-centers,702-990-4770,4454 N DECATUR BLVD , LAS VEGAS, NV,  89130
CIMARRON SURGERY CENTER PLLC,hospitals-surgery-centers,surgery-centers,702-982-3233,6940 S. CIMARRON ROAD , LAS VEGAS, NV,  89113
CORONADO SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-589-9250,2779 W HORIZON RIDGE PKWY STE 140 , HENDERSON,NV, 89052
DIGESTIVE DISEASE CENTER,hospitals-surgery-centers,surgery-centers,702-734-0505,2136 E DESERT INN RD B , LAS VEGAS, NV,  89169
DIGESTIVE DISEASE CENTER - GREEN VALLEY,hospitals-surgery-centers,surgery-centers,702-628-5230,1647 E WINDMILL LN #110 , LAS VEGAS, NV,  89123
DIGESTIVE DISEASE CENTER II,hospitals-surgery-centers,surgery-centers,702-562-2420,2700 CRIMSON CANYON DR #180 , LAS VEGAS, NV,  89128
DURANGO OUTPATIENT SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-789-5700,8530 W SUNSET RD STE 100 , LAS VEGAS, NV,  89113
EAR NOSE AND THROAT SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-792-6700,8840 WEST SUNSET SUITE B , LAS VEGAS, NV,  89148
ELITE ENDOSCOPY,hospitals-surgery-centers,surgery-centers,702-485-5100,7150 SMOKE RANCH RD STE 150 , LAS VEGAS, NV,  89128
FLAMINGO SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-697-7900,2565 E FLAMINGO RD , LAS VEGAS, NV,  89121
GREEN VALLEY SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-756-9525,7365 S. PECOS RD , LAS VEGAS, NV,  89120
HENDERSON SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-564-1344,1110 WIGWAM PKWY , HENDERSON,NV, 89074
INNOVATIVE PROCEDURAL AND SURGICAL CENTER,hospitals-surgery-centers,surgery-centers,702-316-2281,9920 W CHEYENNE AVE STE 120 , LAS VEGAS, NV,  89129
INSTITUTE OF ORTHOPAEDIC SURGERY,hospitals-surgery-centers,surgery-centers,702-294-7407,2800 E DESERT INN RD STE 150 , LAS VEGAS, NV,  89121
KIDNEY SPECIALISTS SURGICAL CENTER,hospitals-surgery-centers,surgery-centers,702-258-0078,7326 W. CHEYENNE AVENUE , LAS VEGAS, NV,  89129
LAS VEGAS ENDOSCOPY,hospitals-surgery-centers,surgery-centers,702-982-7240,7315 S PECOS ROAD , LAS VEGAS, NV,  89120
LAS VEGAS INSTITUTE FOR ADVANCED SURGERY,hospitals-surgery-centers,surgery-centers,248-396-8109,7183 ADVANCED WAY , LAS VEGAS, NV,  89113
LAS VEGAS REGIONAL SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-454-8712,3560 E FLAMINGO RD STE 105 , LAS VEGAS, NV,  89121
LAS VEGAS SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-870-2090,870 S RANCHO DR , LAS VEGAS, NV,  89106
LVC SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-813-2504,1050 S RAINBOW BLVD , LAS VEGAS, NV,  89145
MEDICAL AND DENTAL CENTER OF NEVADA LLC,hospitals-surgery-centers,surgery-centers,702-489-3555,4275 BURNHAM AVE. , LAS VEGAS, NV,  89119
MIVIP REGIONAL SURGERY CENTER,hospitals-surgery-centers,surgery-centers,702-478-7271,5950 SOUTH DURANGO DRIVE , LAS VEGAS, NV,  89113
NEVADA SURGICAL SUITES,hospitals-surgery-centers,surgery-centers,702-476-9999,2809 W CHARLESTON BLVD , LAS VEGAS, NV,  89102
NEVADA SURGICAL SUITES,hospitals-surgery-centers,surgery-centers,702-476-9999,1569 E FLAMINGO , LAS VEGAS, NV,  89119
PARKWAY SURGERY CENTER AT HORIZON RIDGE,hospitals-surgery-centers,surgery-centers,702-724-8900,10561 JEFFREYS ST STE 130 , HENDERSON,NV, 89052
